ID,Difficulty,Category,DisplayText,Reading,RecommendedRomaji,SourceBasis,Note
B001,BEGINNER,足場,足場,あしば,ashiba,2020年の経営者,基本用語
B002,BEGINNER,足場,支柱,しちゅう,shichuu,20190313_vol.18「Compass』.pdf,足場部材
B003,BEGINNER,出荷,出荷,しゅっか,shukka,グループ報「Compass」vol.10.pdf,倉庫業務
B004,BEGINNER,返却,返却,へんきゃく,henkyaku,グループ報「Compass」vol.10.pdf,倉庫業務
B005,BEGINNER,安全,安全,あんぜん,anzen,グループ報「Compass」vol.10.pdf,基本理念
B006,BEGINNER,品質,品質,ひんしつ,hinshitsu,2024年5月に公表した 「中期経営計画2024-2026」,品質管理
B007,BEGINNER,整備,整備,せいび,seibi,中期経営計画 2024-2026,機材メンテナンス
B008,BEGINNER,検収,検収,けんしゅう,kenshuu,グループ報「Compass」vol.10.pdf,倉庫検品
B009,BEGINNER,在庫,在庫,ざいこ,zaiko,グループ報「Compass」vol.20_0303.pdf,管理業務
B010,BEGINNER,配車,配車,はいしゃ,haisha,グループ報「Compass」vol.20_0303.pdf,物流業務
B011,BEGINNER,物流,倉庫,そうこ,souko,2024年5月に公表した 「中期経営計画2024-2026」,施設名
B012,BEGINNER,物流,基地,きち,kichi,中期経営計画 2024-2026,機材ベースの表現
B013,BEGINNER,生産,工場,こうじょう,koujou,20190313_vol.18「Compass』.pdf,製造拠点
B014,BEGINNER,改善,改善,かいぜん,kaizen,20190313_vol.18「Compass』.pdf,カイゼン活動
B015,BEGINNER,理念,愛,あい,ai,コーポレート・アイデンティティ,社是
B016,BEGINNER,理念,自走,じそう,jisou,2026年5月度月例会トップメッセージ,自考自走
B017,BEGINNER,人事,コイン,こいん,koin,「コイン制度」の本格運用を開始！,社内通貨
B018,BEGINNER,DX,デジタル,でじたる,dejitaru,2024年5月に公表した 「中期経営計画2024-2026」,DX推進
B019,BEGINNER,現場,現場,げんば,genba,グループ報「Compass」vol.12.pdf,施工現場
B020,BEGINNER,足場,吊り足場,つりあしば,tsuriashiba,2026年5月度月例会トップメッセージ,足場種類
B021,BEGINNER,足場資材,クランプ,くらんぷ,kuranpu,グループ報「Compass」vol.12.pdf,接続金具
B022,BEGINNER,生産,溶接,ようせつ,yousetsu,Compass_vol.26.pdf,製造工程
B023,BEGINNER,足場,枠組,わくぐみ,wakugumi,Compass_27_0920.pdf,従来足場形式
B024,BEGINNER,足場,法面,のりめん,norimen,会社プロフィール20260710,傾斜地足場
B025,BEGINNER,足場,支保工,しほこう,shihokou,会社プロフィール20260710,重量支保工
B026,BEGINNER,足場資材,鋼管,こうかん,koukan,グループ報「Compass」vol.01.pdf,金属素材
B027,BEGINNER,物流,運搬,うんぱん,unpan,グループ報「Compass」vol.01.pdf,運搬作業
B028,BEGINNER,DX,ロボット,ろぼっと,robotto,グループ報「Compass」vol.24_A4.pdf,自動倉庫
B029,BEGINNER,DX,レール,れーる,re-ru,グループ報「Compass」vol.01.pdf,ロボットレール
B030,BEGINNER,安全,カメラ,かめら,kamera,2026年8月度月例会トップメッセージ,定点カメラ
B031,BEGINNER,業務,伝票,でんぴょう,denpyou,Compass_vol.21_A4_0821.pdf,伝票発行
B032,BEGINNER,業務,日報,にっぽう,nippou,2026年5月度月例会トップメッセージ,日報提出
B033,BEGINNER,業務,棚卸,たなおろし,tanaoroshi,Compass_vol.29_0422.pdf,在庫確認
B034,BEGINNER,足場資材,弁慶,べんけい,benkei,Compass_vol.22_連結_0218.pdf,柱型枠商品名
B035,BEGINNER,業務,満了,まんりょう,manryou,歴史・沿革 | 企業情報,契約満了
B036,BEGINNER,業務,稼働,かどう,kadou,Compass_27_0920.pdf,機材稼働率
B037,BEGINNER,足場資材,単管,たんかん,tankan,グループ報「Compass」vol.12.pdf,単管パイプ
B038,BEGINNER,現場,職人,しょくにん,shokunin,グループ報「Compass」vol.12.pdf,鳶職人
B039,BEGINNER,業務,精算,せいさん,seisan,Compass_vol.29_0422.pdf,確認精算
B040,BEGINNER,品質,クレーム,くれーむ,kure-mu,Compass_vol.20_0303.pdf,品質クレーム
B041,BEGINNER,改善,無駄,むだ,muda,2026年5月度月例会トップメッセージ,業務の無駄
B042,BEGINNER,業務,成果,せいか,seika,2026年5月度月例会トップメッセージ,成果追求
B043,BEGINNER,改善,効率,こうりつ,kouritsu,Compass_vol.21_A4_0821.pdf,効率向上
B044,BEGINNER,業務,ルール,るーる,ru-ru,2026年5月度月例会トップメッセージ,返却ルール
B045,BEGINNER,品質,根拠,こんきょ,konkyo,2026年8月度月例会トップメッセージ,エビデンス
B046,BEGINNER,DX,ポータル,ぽーたる,po-taru,2024年5月に公表した 「中期経営計画2024-2026」,OPERAポータル
B047,BEGINNER,人事,オファー,おふぁー,ofa-,【プレスリリース】タカミヤ、社内副業制度「コイン制度」,スキルオファー
B048,BEGINNER,業務,フロー,ふろー,furo-,中期経営計画 2024-2026,業務フロー
B049,BEGINNER,人事,スキル,すきる,sukiru,【プレスリリース】タカミヤ、社内副業制度「コイン制度」,スキル登録
B050,BEGINNER,足場資材,パイプ,ぱいぷ,paipu,グループ報「Compass」vol.01.pdf,鋼管パイプ
